Training,Valid,validated,waterClassb
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
"0","1","3","3"
